Campus,Residency,2015,2016,2017
Universitywide,California,102994,105326,111611
Universitywide,Out-of-State,30517,33635,32695
Universitywide,International,24635,27395,27143
Universitywide,Total,158146,166356,171449
Berkeley,California,45606,45720,49251
Berkeley,Out-of-State,18570,21169,20311
Berkeley,International,14687,15645,15450
Berkeley,Total,78863,82534,85012
Davis,California,48301,49297,51373
Davis,Out-of-State,5029,5660,5594
Davis,International,11252,13553,13937
Davis,Total,64582,68510,70904
Irvine,California,55039,57573,63091
Irvine,Out-of-State,4749,5524,6014
Irvine,International,11982,14684,15948
Irvine,Total,71770,77781,85053
Los Angeles,California,57806,58885,63478
Los Angeles,Out-of-State,18539,20666,20867
Los Angeles,International,16336,17509,17832
Los Angeles,Total,92681,97060,102177
Merced,California,16199,18030,19860
Merced,Out-of-State,384,447,441
Merced,International,1028,1202,1208
Merced,Total,17611,19679,21509
Riverside,California,33904,36498,38628
Riverside,Out-of-State,1190,1378,1204
Riverside,International,3410,3681,3601
Riverside,Total,38504,41557,43433
San Diego,California,53651,55235,59080
San Diego,Out-of-State,9733,11609,11439
San Diego,International,14700,17371,17932
San Diego,Total,78084,84215,88451
Santa Barbara,California,52112,55111,58462
Santa Barbara,Out-of-State,7490,8693,8768
Santa Barbara,International,10930,13274,14552
Santa Barbara,Total,70532,77078,81782
Santa Cruz,California,37993,40130,42686
Santa Cruz,Out-of-State,2979,3384,3470
Santa Cruz,International,4562,5618,6346
Santa Cruz,Total,45534,49132,52502